Name: Harding Avenue, Instruction: Head north on Harding Avenue, Distance: 287.1 meters, Time: 206.7 seconds
Name: Gollan Road, Instruction: Turn right onto Gollan Road, Distance: 262.5 meters, Time: 189.0 seconds
Name: Gollan Road, Instruction: Turn slight right onto Gollan Road, Distance: 129.3 meters, Time: 93.1 seconds
Name: Gollan Road Pedestrian Walkway, Instruction: Turn right onto Gollan Road Pedestrian Walkway, Distance: 298.0 meters, Time: 214.6 seconds
Name: Tihi Street, Instruction: Turn left onto Tihi Street, Distance: 283.3 meters, Time: 204.0 seconds
Name: Tihi Street, Instruction: Keep left onto Tihi Street, Distance: 17.4 meters, Time: 12.6 seconds
Name: Stonefields Avenue, Instruction: Enter the roundabout and take the 1st exit onto Stonefields Avenue, Distance: 215.5 meters, Time: 155.2 seconds
Name: Kauriki Terrace, Instruction: Turn left onto Kauriki Terrace, Distance: 61.6 meters, Time: 44.3 seconds
Name: -, Instruction: Turn right, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Keep right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 146.6 meters, Time: 105.5 seconds
Name: -, Instruction: Turn left, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
