Name: Trevor Housley Avenue, Instruction: Head north on Trevor Housley Avenue, Distance: 370.9 meters, Time: 267.0 seconds
Name: -, Instruction: Keep right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 117.2 meters, Time: 84.4 seconds
Name: -, Instruction: Keep left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 331.3 meters, Time: 238.5 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: Rosenthal Street, Instruction: Turn left onto Rosenthal Street, Distance: 184.4 meters, Time: 132.8 seconds
Name: Birdwood Avenue, Instruction: Enter the roundabout and take the 1st exit onto Birdwood Avenue, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 138.2 meters, Time: 99.5 seconds
Name: Hammon Avenue, Instruction: Turn left onto Hammon Avenue, Distance: 70.9 meters, Time: 51.1 seconds
Name: Jacaranda Place, Instruction: Turn right onto Jacaranda Place, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Arrive at Jacaranda Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
