Name: Rua Antunes Maciel, Instruction: Head east on Rua Antunes Maciel, Distance: 419.1 meters, Time: 301.7 seconds
Name: Rua Gotemburgo, Instruction: Turn sharp left onto Rua Gotemburgo, Distance: 71.2 meters, Time: 51.3 seconds
Name: Travessa Capitão Barrão, Instruction: Turn right onto Travessa Capitão Barrão, Distance: 92.0 meters, Time: 66.3 seconds
Name: Rua Melo e Souza, Instruction: Turn left onto Rua Melo e Souza, Distance: 266.2 meters, Time: 191.7 seconds
Name: -, Instruction: Turn right, Distance: 223.5 meters, Time: 160.9 seconds
Name: -, Instruction: Turn left, Distance: 135.1 meters, Time: 97.3 seconds
Name: -, Instruction: Turn right, Distance: 57.7 meters, Time: 41.6 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Keep left, Distance: 225.5 meters, Time: 162.4 seconds
Name: -, Instruction: Turn left, Distance: 75.6 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Keep right, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 342.8 meters, Time: 246.8 seconds
Name: Passeio Ernesto Nazareth, Instruction: Turn right onto Passeio Ernesto Nazareth, Distance: 8.1 meters, Time: 5.8 seconds
Name: Avenida Cidade de Lima, Instruction: Turn left onto Avenida Cidade de Lima, Distance: 49.7 meters, Time: 35.8 seconds
Name: Rua Mendonça, Instruction: Turn right onto Rua Mendonça, Distance: 175.8 meters, Time: 126.6 seconds
Name: -, Instruction: Arrive at Rua Mendonça, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
