Name: Conroy Avenue, Instruction: Head west on Conroy Avenue, Distance: 2.2 meters, Time: 1.6 seconds
Name: Victoria Park Avenue, Instruction: Turn left onto Victoria Park Avenue, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.2 seconds
Name: Donora Drive, Instruction: Turn right onto Donora Drive, Distance: 344.4 meters, Time: 247.9 seconds
Name: Dawes Road, Instruction: Turn left onto Dawes Road, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 194.6 meters, Time: 140.1 seconds
Name: Park Vista, Instruction: Turn right onto Park Vista, Distance: 252.4 meters, Time: 181.7 seconds
Name: Park Vista, Instruction: Turn left onto Park Vista, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
