Name: Korotaha Terrace, Instruction: Head northeast on Korotaha Terrace, Distance: 282.6 meters, Time: 203.5 seconds
Name: Hyde Road, Instruction: Turn right onto Hyde Road, Distance: 92.9 meters, Time: 66.9 seconds
Name: Mirwill Road, Instruction: Turn left onto Mirwill Road, Distance: 117.8 meters, Time: 84.8 seconds
Name: Beechwood Road, Instruction: Turn left onto Beechwood Road, Distance: 215.2 meters, Time: 155.0 seconds
Name: Philson Terrace, Instruction: Keep right onto Philson Terrace, Distance: 139.7 meters, Time: 100.6 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 107.7 meters, Time: 77.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 270.2 meters, Time: 194.5 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.8 seconds
Name: -, Instruction: Keep left, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
