Name: Hildegardstraße, Instruction: Head northeast on Hildegardstraße, Distance: 53.9 meters, Time: 38.8 seconds
Name: Pippinplatz, Instruction: Continue straight onto Pippinplatz, Distance: 24.1 meters, Time: 17.4 seconds
Name: Pippinplatz, Instruction: Turn right onto Pippinplatz, Distance: 8.4 meters, Time: 6.1 seconds
Name: Karlstraße, Instruction: Keep left onto Karlstraße, Distance: 28.3 meters, Time: 20.4 seconds
Name: Karlstraße, Instruction: Turn left onto Karlstraße, Distance: 283.5 meters, Time: 204.1 seconds
Name: Waldpromenade, Instruction: Turn right onto Waldpromenade, Distance: 57.7 meters, Time: 41.5 seconds
Name: -, Instruction: Turn left, Distance: 125.8 meters, Time: 90.5 seconds
Name: -, Instruction: Turn right, Distance: 248.0 meters, Time: 178.6 seconds
Name: -, Instruction: Keep left, Distance: 102.3 meters, Time: 73.6 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Keep left, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: Birkenstraße, Instruction: Turn right onto Birkenstraße, Distance: 63.4 meters, Time: 45.6 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
