Name: Allée Françoise d'Eaubonne, Instruction: Head east on Allée Françoise d'Eaubonne, Distance: 6.1 meters, Time: 4.4 seconds
Name: Rue Mouton Duvernet, Instruction: Continue straight onto Rue Mouton Duvernet, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight left, Distance: 106.7 meters, Time: 76.8 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep left, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn slight left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn slight left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Keep left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn left, Distance: 75.9 meters, Time: 54.6 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 103.6 meters, Time: 74.6 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 208.8 meters, Time: 150.3 seconds
Name: -, Instruction: Turn slight left, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Keep right, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: Boulevard Raspail, Instruction: Turn left onto Boulevard Raspail, Distance: 101.8 meters, Time: 73.3 seconds
Name: Rue Campagne Première, Instruction: Turn right onto Rue Campagne Première, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Keep right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
