Name: Route des Dames, Instruction: Head north on Route des Dames, Distance: 14.5 meters, Time: 10.4 seconds
Name: Avenue de Nogent, Instruction: Turn left onto Avenue de Nogent, Distance: 291.3 meters, Time: 209.8 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Keep right, Distance: 12.0 meters, Time: 8.7 seconds
Name: Avenue de Nogent, Instruction: Turn left onto Avenue de Nogent, Distance: 13.6 meters, Time: 9.8 seconds
Name: Avenue de la Pépinière, Instruction: Turn right onto Avenue de la Pépinière, Distance: 5.9 meters, Time: 4.2 seconds
Name: Avenue de Nogent, Instruction: Turn left onto Avenue de Nogent, Distance: 219.0 meters, Time: 157.7 seconds
Name: Avenue de Nogent, Instruction: Keep left onto Avenue de Nogent, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 356.9 meters, Time: 256.9 seconds
Name: Route du Donjon, Instruction: Turn sharp right onto Route du Donjon, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Keep left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 70.7 meters, Time: 50.9 seconds
Name: Route des Pelouses Marigny, Instruction: Turn left onto Route des Pelouses Marigny, Distance: 8.6 meters, Time: 6.2 seconds
Name: Route de la Dame Blanche, Instruction: Turn right onto Route de la Dame Blanche, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn slight right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
