Name: Murphys Road, Instruction: Head north on Murphys Road, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 133.7 meters, Time: 96.2 seconds
Name: -, Instruction: Turn right, Distance: 32.3 meters, Time: 23.3 seconds
Name: Cranford Drive, Instruction: Turn left onto Cranford Drive, Distance: 57.1 meters, Time: 41.1 seconds
Name: Castlederg Drive, Instruction: Turn right onto Castlederg Drive, Distance: 163.3 meters, Time: 117.6 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 253.6 meters, Time: 182.6 seconds
Name: -, Instruction: Turn right, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn left, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: Bruckless Drive, Instruction: Turn left onto Bruckless Drive, Distance: 119.1 meters, Time: 85.7 seconds
Name: -, Instruction: Arrive at Bruckless Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
