Name: Ellington Square, Instruction: Head southwest on Ellington Square, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 214.7 meters, Time: 154.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 204.4 meters, Time: 147.2 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 107.9 meters, Time: 77.7 seconds
Name: -, Instruction: Keep right, Distance: 213.1 meters, Time: 153.4 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 54.8 meters, Time: 39.4 seconds
Name: Kallang Park Connector, Instruction: Turn left onto Kallang Park Connector, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Keep left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Turn right, Distance: 184.4 meters, Time: 132.8 seconds
Name: -, Instruction: Keep right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn slight right, Distance: 122.6 meters, Time: 88.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 89.0 meters, Time: 64.1 seconds
Name: -, Instruction: Turn right, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn slight right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 170.6 meters, Time: 122.8 seconds
Name: -, Instruction: Turn left, Distance: 206.8 meters, Time: 148.9 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: Sin Ming Road, Instruction: Continue straight onto Sin Ming Road, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at Sin Ming Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
