Name: Coleman Avenue, Instruction: Head east on Coleman Avenue, Distance: 465.3 meters, Time: 335.0 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 142.2 meters, Time: 102.4 seconds
Name: -, Instruction: Turn right, Distance: 105.4 meters, Time: 75.9 seconds
Name: Sibley Avenue, Instruction: Turn right onto Sibley Avenue, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Keep left, Distance: 185.8 meters, Time: 133.8 seconds
Name: -, Instruction: Keep right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 142.8 meters, Time: 102.8 seconds
Name: -, Instruction: Turn right, Distance: 361.2 meters, Time: 260.0 seconds
Name: -, Instruction: Keep left, Distance: 10.2 meters, Time: 7.3 seconds
Name: Musgrave Street, Instruction: Turn left onto Musgrave Street, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at Musgrave Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
