Name: The Bay Run, Instruction: Head southwest on The Bay Run, Distance: 491.0 meters, Time: 353.5 seconds
Name: -, Instruction: Turn right, Distance: 375.1 meters, Time: 270.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.0 meters, Time: 5.7 seconds
Name: Henley Marine Drive, Instruction: Turn sharp left onto Henley Marine Drive, Distance: 144.7 meters, Time: 104.2 seconds
Name: Connecticut Avenue, Instruction: Turn right onto Connecticut Avenue, Distance: 442.3 meters, Time: 318.4 seconds
Name: -, Instruction: Turn left, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: Harrabrook Avenue, Instruction: Turn left onto Harrabrook Avenue, Distance: 451.6 meters, Time: 325.1 seconds
Name: -, Instruction: Turn left, Distance: 92.9 meters, Time: 66.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.5 seconds
Name: -, Instruction: Turn left, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Keep left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
