Name: Cooper Street, Instruction: Head southwest on Cooper Street, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 159.7 meters, Time: 115.0 seconds
Name: -, Instruction: Keep left, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 152.7 meters, Time: 110.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Keep left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Keep left, Distance: 260.8 meters, Time: 187.8 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn left, Distance: 200.0 meters, Time: 144.0 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 275.5 meters, Time: 198.4 seconds
Name: -, Instruction: Keep left, Distance: 198.4 meters, Time: 142.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 344.0 meters, Time: 247.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
