Name: 平和公園通り, Instruction: Head south on 平和公園通り, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn left, Distance: 84.1 meters, Time: 60.5 seconds
Name: -, Instruction: Turn right, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn left, Distance: 74.9 meters, Time: 53.9 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn slight left, Distance: 135.6 meters, Time: 97.7 seconds
Name: -, Instruction: Keep left, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn slight right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Keep left, Distance: 4.0 meters, Time: 2.8 seconds
Name: 五番街, Instruction: Turn left onto 五番街, Distance: 1.3 meters, Time: 0.9 seconds
Name: ふれあいロード, Instruction: Turn right onto ふれあいロード, Distance: 92.7 meters, Time: 66.7 seconds
Name: -, Instruction: Arrive at ふれあいロード, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
