Name: Evergreen Avenue, Instruction: Head north on Evergreen Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 206.0 meters, Time: 148.3 seconds
Name: -, Instruction: Turn left, Distance: 70.5 meters, Time: 50.8 seconds
Name: -, Instruction: Keep right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight left, Distance: 259.4 meters, Time: 186.8 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 307.3 meters, Time: 221.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Tay Lian Teck Road, Instruction: Turn left onto Tay Lian Teck Road, Distance: 4.8 meters, Time: 3.4 seconds
Name: Tay Lian Teck Drive, Instruction: Turn right onto Tay Lian Teck Drive, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 53.9 meters, Time: 38.8 seconds
Name: Kee Sun Avenue, Instruction: Turn left onto Kee Sun Avenue, Distance: 197.8 meters, Time: 142.4 seconds
Name: Kee Sun Avenue, Instruction: Keep right onto Kee Sun Avenue, Distance: 65.2 meters, Time: 47.0 seconds
Name: Siglap Linear Park, Instruction: Turn left onto Siglap Linear Park, Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Turn right, Distance: 256.4 meters, Time: 184.6 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
