Name: Stadium Road, Instruction: Head northwest on Stadium Road, Distance: 244.8 meters, Time: 176.2 seconds
Name: Bishop Tutu Boulevard, Instruction: Turn right onto Bishop Tutu Boulevard, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 66.3 meters, Time: 47.7 seconds
Name: -, Instruction: Keep left, Distance: 42.9 meters, Time: 30.9 seconds
Name: Fleet Street, Instruction: Turn left onto Fleet Street, Distance: 154.0 meters, Time: 110.8 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 797.5 meters, Time: 574.2 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 189.2 meters, Time: 136.2 seconds
Name: Douro Street, Instruction: Turn left onto Douro Street, Distance: 267.1 meters, Time: 192.3 seconds
Name: -, Instruction: Turn right, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Turn slight right, Distance: 356.6 meters, Time: 256.8 seconds
Name: -, Instruction: Turn slight left, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Keep right, Distance: 123.4 meters, Time: 88.8 seconds
Name: Lower Ossington Avenue, Instruction: Turn left onto Lower Ossington Avenue, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Arrive at Lower Ossington Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
