Name: Rue Chabanais, Instruction: Head south on Rue Chabanais, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn left, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: Rue des Petits Champs, Instruction: Turn left onto Rue des Petits Champs, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn slight right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: Rue de Beaujolais, Instruction: Turn left onto Rue de Beaujolais, Distance: 271.1 meters, Time: 195.2 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
