Name: いちょう通り, Instruction: Head south on いちょう通り, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 150.3 meters, Time: 108.2 seconds
Name: 管理事務所正面通り, Instruction: Turn left onto 管理事務所正面通り, Distance: 49.5 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 92.9 meters, Time: 66.9 seconds
Name: -, Instruction: Turn slight left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Keep right, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Turn right, Distance: 471.2 meters, Time: 339.2 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
