Name: Rua São Bento, Instruction: Head west on Rua São Bento, Distance: 58.1 meters, Time: 41.8 seconds
Name: Rua Sete, Instruction: Turn right onto Rua Sete, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: Travessa Henrique Dias, Instruction: Turn left onto Travessa Henrique Dias, Distance: 298.2 meters, Time: 214.7 seconds
Name: -, Instruction: Keep right, Distance: 144.6 meters, Time: 104.1 seconds
Name: Rua Onze Unidos, Instruction: Turn right onto Rua Onze Unidos, Distance: 121.7 meters, Time: 87.7 seconds
Name: Rua Antônio Tenório, Instruction: Turn left onto Rua Antônio Tenório, Distance: 263.7 meters, Time: 189.9 seconds
Name: Rua Vila Nova, Instruction: Turn right onto Rua Vila Nova, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 134.3 meters, Time: 96.7 seconds
Name: -, Instruction: Turn left, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn right, Distance: 46.3 meters, Time: 33.4 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
