Name: Jalan Besut, Instruction: Head west on Jalan Besut, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 234.8 meters, Time: 169.1 seconds
Name: -, Instruction: Turn left, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: Jalan Terusan, Instruction: Turn left onto Jalan Terusan, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 459.4 meters, Time: 330.8 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn slight right, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 359.3 meters, Time: 258.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: Yung Ho Road, Instruction: Turn right onto Yung Ho Road, Distance: 104.5 meters, Time: 75.3 seconds
Name: -, Instruction: Turn left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 103.7 meters, Time: 74.6 seconds
Name: -, Instruction: Turn right, Distance: 129.5 meters, Time: 93.3 seconds
Name: -, Instruction: Turn left, Distance: 170.1 meters, Time: 122.5 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
