Name: Woodbridge Street, Instruction: Head north on Woodbridge Street, Distance: 41.6 meters, Time: 30.0 seconds
Name: Donnelly Street, Instruction: Turn sharp left onto Donnelly Street, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: Parkway Drive Shared Path, Instruction: Turn left onto Parkway Drive Shared Path, Distance: 35.5 meters, Time: 25.5 seconds
Name: Atkinson Street, Instruction: Turn right onto Atkinson Street, Distance: 205.3 meters, Time: 147.8 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight left, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: Floribunda Parade, Instruction: Turn left onto Floribunda Parade, Distance: 10.6 meters, Time: 7.7 seconds
Name: Witts Avenue, Instruction: Turn right onto Witts Avenue, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Turn slight left, Distance: 13.4 meters, Time: 9.7 seconds
Name: Wilcox Street, Instruction: Turn sharp left onto Wilcox Street, Distance: 63.6 meters, Time: 45.8 seconds
Name: Ramage Street, Instruction: Turn right onto Ramage Street, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 60.5 meters, Time: 43.6 seconds
Name: -, Instruction: Turn slight left, Distance: 121.6 meters, Time: 87.5 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: Aisbett Street, Instruction: Turn left onto Aisbett Street, Distance: 8.8 meters, Time: 6.3 seconds
Name: Loudon Parade, Instruction: Turn right onto Loudon Parade, Distance: 462.4 meters, Time: 332.9 seconds
Name: Sundew Parade, Instruction: Turn sharp left onto Sundew Parade, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Continue straight, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 113.0 meters, Time: 81.3 seconds
Name: -, Instruction: Turn slight left, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Ribbonwood Crescent, Instruction: Turn right onto Ribbonwood Crescent, Distance: 80.8 meters, Time: 58.2 seconds
Name: Marsdenia Avenue, Instruction: Turn left onto Marsdenia Avenue, Distance: 172.5 meters, Time: 124.2 seconds
Name: Rosepark Drive, Instruction: Turn right onto Rosepark Drive, Distance: 200.9 meters, Time: 144.7 seconds
Name: -, Instruction: Arrive at Rosepark Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
