Name: Hill Street, Instruction: Head north on Hill Street, Distance: 298.3 meters, Time: 214.7 seconds
Name: -, Instruction: Turn left, Distance: 123.9 meters, Time: 89.2 seconds
Name: George Terrace, Instruction: Turn right onto George Terrace, Distance: 18.5 meters, Time: 13.3 seconds
Name: Church Street, Instruction: Turn left onto Church Street, Distance: 237.0 meters, Time: 170.6 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.3 seconds
Name: Beachcroft Avenue, Instruction: Turn right onto Beachcroft Avenue, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Continue straight, Distance: 418.5 meters, Time: 301.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 112.1 meters, Time: 80.7 seconds
Name: Orpheus Drive, Instruction: Turn right onto Orpheus Drive, Distance: 408.1 meters, Time: 293.8 seconds
Name: Bamfield Place, Instruction: Turn left onto Bamfield Place, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 53.9 meters, Time: 38.8 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 75.2 meters, Time: 54.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
