Name: Waldstraße, Instruction: Head east on Waldstraße, Distance: 47.5 meters, Time: 34.2 seconds
Name: Ruffiniallee, Instruction: Turn left onto Ruffiniallee, Distance: 266.1 meters, Time: 191.6 seconds
Name: -, Instruction: Keep right, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Bahnhofstraße, Instruction: Turn right onto Bahnhofstraße, Distance: 35.7 meters, Time: 25.7 seconds
Name: Bahnhofplatz, Instruction: Enter the roundabout and take the 1st exit onto Bahnhofplatz, Distance: 77.1 meters, Time: 55.5 seconds
Name: Steubstraße, Instruction: Turn sharp right onto Steubstraße, Distance: 101.2 meters, Time: 72.9 seconds
Name: Aribostraße, Instruction: Turn left onto Aribostraße, Distance: 527.5 meters, Time: 379.8 seconds
Name: -, Instruction: Turn left, Distance: 250.9 meters, Time: 180.7 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Rottenbucher Straße, Instruction: Turn left onto Rottenbucher Straße, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 831.4 meters, Time: 598.6 seconds
Name: Kirchweg, Instruction: Turn right onto Kirchweg, Distance: 41.3 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 22.9 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
