Name: Surin Avenue, Instruction: Head southwest on Surin Avenue, Distance: 272.2 meters, Time: 196.0 seconds
Name: Kampung Sireh, Instruction: Turn right onto Kampung Sireh, Distance: 68.4 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 50.9 meters, Time: 36.7 seconds
Name: -, Instruction: Turn right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 105.2 meters, Time: 75.7 seconds
Name: -, Instruction: Turn left, Distance: 150.2 meters, Time: 108.1 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 358.1 meters, Time: 257.9 seconds
Name: -, Instruction: Turn right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 116.8 meters, Time: 84.1 seconds
Name: Plantation Avenue, Instruction: Turn left onto Plantation Avenue, Distance: 75.4 meters, Time: 54.3 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: Brighton Avenue, Instruction: Turn right onto Brighton Avenue, Distance: 79.9 meters, Time: 57.5 seconds
Name: Marlene Avenue, Instruction: Turn left onto Marlene Avenue, Distance: 338.1 meters, Time: 243.4 seconds
Name: -, Instruction: Turn left, Distance: 268.8 meters, Time: 193.5 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.8 seconds
Name: Tai Yuan Heights, Instruction: Turn right onto Tai Yuan Heights, Distance: 8.9 meters, Time: 6.4 seconds
Name: Lorong Chuan, Instruction: Turn right onto Lorong Chuan, Distance: 51.1 meters, Time: 36.8 seconds
Name: Chuan Drive, Instruction: Turn left onto Chuan Drive, Distance: 48.3 meters, Time: 34.8 seconds
Name: Chuan Drive, Instruction: Turn left onto Chuan Drive, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 189.4 meters, Time: 136.4 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
