Name: Rua Arará, Instruction: Head west on Rua Arará, Distance: 340.0 meters, Time: 244.8 seconds
Name: -, Instruction: Turn left, Distance: 91.9 meters, Time: 66.2 seconds
Name: Rua Rio Grande do Norte, Instruction: Turn left onto Rua Rio Grande do Norte, Distance: 81.0 meters, Time: 58.3 seconds
Name: Rua Leopoldo Bulhões, Instruction: Turn right onto Rua Leopoldo Bulhões, Distance: 508.1 meters, Time: 365.8 seconds
Name: Rua Madiba, Instruction: Turn right onto Rua Madiba, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 81.9 meters, Time: 58.9 seconds
Name: -, Instruction: Continue straight, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 40.8 meters, Time: 29.4 seconds
Name: Rua Leopoldo Bulhões, Instruction: Turn right onto Rua Leopoldo Bulhões, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Keep left, Distance: 239.0 meters, Time: 172.1 seconds
Name: -, Instruction: Keep right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
