Name: Mobile Drive, Instruction: Head east on Mobile Drive, Distance: 357.1 meters, Time: 257.1 seconds
Name: Bermondsey Road, Instruction: Turn left onto Bermondsey Road, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 402.1 meters, Time: 289.5 seconds
Name: -, Instruction: Keep right, Distance: 400.6 meters, Time: 288.4 seconds
Name: -, Instruction: Keep left, Distance: 30.2 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 140.9 meters, Time: 101.4 seconds
Name: -, Instruction: Keep left, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 28.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
