Name: Aklander Rise, Instruction: Head northeast on Aklander Rise, Distance: 488.7 meters, Time: 351.8 seconds
Name: Tannaghmore Drive, Instruction: Enter the roundabout and take the 2nd exit onto Tannaghmore Drive, Distance: 96.6 meters, Time: 69.6 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Turn right, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Drumbuoy Drive, Instruction: Turn right onto Drumbuoy Drive, Distance: 580.9 meters, Time: 418.2 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 59.0 meters, Time: 42.4 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
