Name: Seaforth Avenue, Instruction: Head west on Seaforth Avenue, Distance: 322.8 meters, Time: 232.4 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 89.0 meters, Time: 64.1 seconds
Name: -, Instruction: Keep right, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Turn left, Distance: 97.0 meters, Time: 69.8 seconds
Name: -, Instruction: Keep right, Distance: 199.8 meters, Time: 143.9 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: Pearson Avenue, Instruction: Turn left onto Pearson Avenue, Distance: 572.0 meters, Time: 411.8 seconds
Name: Sunnyside Avenue, Instruction: Turn right onto Sunnyside Avenue, Distance: 43.6 meters, Time: 31.4 seconds
Name: Parkdale Road, Instruction: Turn left onto Parkdale Road, Distance: 93.8 meters, Time: 67.6 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Keep right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
