Name: Valewood Avenue, Instruction: Head west on Valewood Avenue, Distance: 87.5 meters, Time: 63.0 seconds
Name: Arlington Avenue, Instruction: Turn right onto Arlington Avenue, Distance: 85.7 meters, Time: 61.7 seconds
Name: Earlsdale Avenue, Instruction: Turn left onto Earlsdale Avenue, Distance: 268.1 meters, Time: 193.0 seconds
Name: Winona Drive, Instruction: Turn right onto Winona Drive, Distance: 54.6 meters, Time: 39.3 seconds
Name: Holland Park Avenue, Instruction: Turn left onto Holland Park Avenue, Distance: 262.0 meters, Time: 188.7 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn slight right, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Turn left, Distance: 351.1 meters, Time: 252.8 seconds
Name: Lauder Avenue, Instruction: Turn right onto Lauder Avenue, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 181.4 meters, Time: 130.6 seconds
Name: -, Instruction: Keep left, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Keep left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: Bloem Avenue, Instruction: Turn left onto Bloem Avenue, Distance: 183.3 meters, Time: 132.0 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 51.6 meters, Time: 37.2 seconds
Name: Boon Avenue, Instruction: Turn right onto Boon Avenue, Distance: 7.3 meters, Time: 5.3 seconds
Name: Teignmouth Avenue, Instruction: Turn left onto Teignmouth Avenue, Distance: 92.7 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
