Name: Rue de la Monnaie, Instruction: Head north on Rue de la Monnaie, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Keep right, Distance: 61.6 meters, Time: 44.3 seconds
Name: Place de l'École, Instruction: Turn right onto Place de l'École, Distance: 44.1 meters, Time: 31.8 seconds
Name: Rue de l'Arbre Sec, Instruction: Continue straight onto Rue de l'Arbre Sec, Distance: 137.0 meters, Time: 98.7 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Keep right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Keep right, Distance: 9.0 meters, Time: 6.4 seconds
Name: -, Instruction: Keep right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Keep right, Distance: 141.3 meters, Time: 101.7 seconds
Name: -, Instruction: Keep right, Distance: 168.2 meters, Time: 121.1 seconds
Name: -, Instruction: Keep right, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn slight left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Keep left, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn slight left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 263.0 meters, Time: 189.4 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Rue Saint-Honoré, Instruction: Turn left onto Rue Saint-Honoré, Distance: 169.9 meters, Time: 122.4 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
