Name: Northam Avenue, Instruction: Head northwest on Northam Avenue, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 133.3 meters, Time: 96.0 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 174.1 meters, Time: 125.4 seconds
Name: -, Instruction: Turn right, Distance: 737.4 meters, Time: 530.9 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: Edgar Street, Instruction: Turn right onto Edgar Street, Distance: 7.3 meters, Time: 5.2 seconds
Name: Eldridge Road, Instruction: Enter the roundabout and take the 1st exit onto Eldridge Road, Distance: 73.4 meters, Time: 52.8 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
