Name: McGrath Place, Instruction: Head southwest on McGrath Place, Distance: 147.9 meters, Time: 106.5 seconds
Name: -, Instruction: Turn left, Distance: 394.6 meters, Time: 284.1 seconds
Name: -, Instruction: Turn right, Distance: 123.5 meters, Time: 88.9 seconds
Name: -, Instruction: Turn slight right, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Turn slight right, Distance: 167.0 meters, Time: 120.2 seconds
Name: -, Instruction: Turn right, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Turn left, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Keep right, Distance: 63.4 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 147.0 meters, Time: 105.9 seconds
Name: -, Instruction: Turn left, Distance: 120.2 meters, Time: 86.5 seconds
Name: -, Instruction: Turn left, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn slight left, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight left, Distance: 10.4 meters, Time: 7.5 seconds
Name: Waterworth Drive, Instruction: Turn right onto Waterworth Drive, Distance: 132.3 meters, Time: 95.2 seconds
Name: Waterworth Drive, Instruction: Enter the roundabout and take the 1st exit onto Waterworth Drive, Distance: 160.8 meters, Time: 115.8 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 126.5 meters, Time: 91.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
