Name: Passage des Trois Places, Instruction: Head southeast on Passage des Trois Places, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Turn left, Distance: 133.7 meters, Time: 96.3 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 180.7 meters, Time: 130.1 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 40.6 meters, Time: 29.2 seconds
Name: Route de la Demi-Lune, Instruction: Turn left onto Route de la Demi-Lune, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Keep right, Distance: 64.1 meters, Time: 46.2 seconds
Name: -, Instruction: Keep right, Distance: 25.7 meters, Time: 18.5 seconds
Name: Rue de Valmy, Instruction: Continue straight onto Rue de Valmy, Distance: 247.7 meters, Time: 178.4 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 69.2 meters, Time: 49.8 seconds
Name: Boulevard de la Mission Marchand, Instruction: Keep left onto Boulevard de la Mission Marchand, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.7 seconds
Name: Boulevard de la Mission Marchand, D 992, Instruction: Turn right onto Boulevard de la Mission Marchand, D 992, Distance: 14.2 meters, Time: 10.2 seconds
Name: Rue Eugène Caron, Instruction: Turn left onto Rue Eugène Caron, Distance: 603.9 meters, Time: 434.8 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.8 seconds
Name: Rue Sébastopol, Instruction: Turn left onto Rue Sébastopol, Distance: 256.1 meters, Time: 184.4 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: Avenue de Château du Loir, Instruction: Turn left onto Avenue de Château du Loir, Distance: 314.4 meters, Time: 226.4 seconds
Name: -, Instruction: Turn right, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
