Name: York Road, Instruction: Head northwest on York Road, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 118.4 meters, Time: 85.2 seconds
Name: Chicheley Street, Instruction: Turn left onto Chicheley Street, Distance: 91.0 meters, Time: 65.6 seconds
Name: Belvedere Road, Instruction: Turn right onto Belvedere Road, Distance: 269.2 meters, Time: 193.8 seconds
Name: -, Instruction: Turn left, Distance: 133.2 meters, Time: 95.9 seconds
Name: -, Instruction: Turn slight left, Distance: 15.4 meters, Time: 11.1 seconds
Name: Golden Jubilee Bridge, Instruction: Continue straight onto Golden Jubilee Bridge, Distance: 318.3 meters, Time: 229.2 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: Victoria Embankment, Instruction: Turn left onto Victoria Embankment, Distance: 264.4 meters, Time: 190.3 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Keep right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: Carting Lane, Instruction: Continue straight onto Carting Lane, Distance: 279.1 meters, Time: 201.0 seconds
Name: Henrietta Street, Instruction: Turn left onto Henrietta Street, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
