Name: Calle Hermenegildo Galeana, Instruction: Head east on Calle Hermenegildo Galeana, Distance: 41.3 meters, Time: 29.8 seconds
Name: Calle Ciclamen, Instruction: Turn right onto Calle Ciclamen, Distance: 162.5 meters, Time: 117.0 seconds
Name: Calle Gardenia, Instruction: Turn right onto Calle Gardenia, Distance: 304.5 meters, Time: 219.3 seconds
Name: Calle Madreselva, Instruction: Turn left onto Calle Madreselva, Distance: 166.3 meters, Time: 119.7 seconds
Name: Calle Madreselva, Instruction: Keep left onto Calle Madreselva, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 120.3 meters, Time: 86.6 seconds
Name: -, Instruction: Keep right, Distance: 119.7 meters, Time: 86.2 seconds
Name: -, Instruction: Turn left, Distance: 238.2 meters, Time: 171.5 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: Nueva Carretera Xochimilco Tulyehualco, Instruction: Turn right onto Nueva Carretera Xochimilco Tulyehualco, Distance: 14.8 meters, Time: 10.6 seconds
Name: Cerrada Vicente Rosas, Instruction: Keep left onto Cerrada Vicente Rosas, Distance: 218.7 meters, Time: 157.5 seconds
Name: -, Instruction: Turn left, Distance: 75.1 meters, Time: 54.1 seconds
Name: Calle Micaela Ordóñez Viuda de Balanzario, Instruction: Turn left onto Calle Micaela Ordóñez Viuda de Balanzario, Distance: 53.1 meters, Time: 38.2 seconds
Name: Calle Ignacio Chávez, Instruction: Turn right onto Calle Ignacio Chávez, Distance: 222.0 meters, Time: 159.8 seconds
Name: Camino Viejo a Nativitas, Instruction: Turn sharp right onto Camino Viejo a Nativitas, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 77.4 meters, Time: 55.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
