Name: شارع وسط المساكن, Instruction: Head south on شارع وسط المساكن, Distance: 157.1 meters, Time: 113.1 seconds
Name: -, Instruction: Turn left, Distance: 55.2 meters, Time: 39.7 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 77.9 meters, Time: 56.1 seconds
Name: شارع محمد الحسيني عسوي, Instruction: Turn left onto شارع محمد الحسيني عسوي, Distance: 30.2 meters, Time: 21.7 seconds
Name: شارع عثمان باشا, Instruction: Turn slight left onto شارع عثمان باشا, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn right, Distance: 62.0 meters, Time: 44.7 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 51.9 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn slight right, Distance: 68.7 meters, Time: 49.4 seconds
Name: -, Instruction: Turn left, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
