Name: Tannery Lane, Instruction: Head northwest on Tannery Lane, Distance: 480.8 meters, Time: 346.2 seconds
Name: Lorong Pendek, Instruction: Turn right onto Lorong Pendek, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 94.2 meters, Time: 67.8 seconds
Name: -, Instruction: Turn right, Distance: 38.5 meters, Time: 27.7 seconds
Name: Jalan Wangi, Instruction: Turn left onto Jalan Wangi, Distance: 60.5 meters, Time: 43.5 seconds
Name: Siang Kuang Avenue, Instruction: Turn left onto Siang Kuang Avenue, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 278.5 meters, Time: 200.5 seconds
Name: Wan Tho Avenue, Instruction: Turn left onto Wan Tho Avenue, Distance: 397.1 meters, Time: 285.9 seconds
Name: Wan Tho Avenue, Instruction: Keep right onto Wan Tho Avenue, Distance: 27.1 meters, Time: 19.5 seconds
Name: Wan Tho Avenue, Instruction: Keep right onto Wan Tho Avenue, Distance: 56.4 meters, Time: 40.6 seconds
Name: Wan Tho Avenue, Instruction: Continue straight onto Wan Tho Avenue, Distance: 669.3 meters, Time: 481.9 seconds
Name: -, Instruction: Keep right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
