Name: Rue Louis Blanc, Instruction: Head southeast on Rue Louis Blanc, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Keep right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn slight left, Distance: 248.3 meters, Time: 178.8 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Keep right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Keep right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight left, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Keep left, Distance: 83.6 meters, Time: 60.2 seconds
Name: Rue Armand Carrel, Instruction: Turn right onto Rue Armand Carrel, Distance: 3.2 meters, Time: 2.3 seconds
Name: Rue Armand Carrel, Instruction: Turn left onto Rue Armand Carrel, Distance: 167.6 meters, Time: 120.7 seconds
Name: Rue Armand Carrel, Instruction: Keep right onto Rue Armand Carrel, Distance: 134.3 meters, Time: 96.7 seconds
Name: Rue Armand Carrel, Instruction: Continue straight onto Rue Armand Carrel, Distance: 444.4 meters, Time: 320.0 seconds
Name: Avenue de Laumière, Instruction: Turn slight right onto Avenue de Laumière, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Place Roger Madec, Instruction: Turn right onto Place Roger Madec, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 237.4 meters, Time: 170.9 seconds
Name: -, Instruction: Turn slight right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Keep right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn slight right, Distance: 174.3 meters, Time: 125.5 seconds
Name: Rue David d'Angers, Instruction: Turn right onto Rue David d'Angers, Distance: 6.7 meters, Time: 4.9 seconds
Name: Rue David d'Angers, Instruction: Turn left onto Rue David d'Angers, Distance: 141.3 meters, Time: 101.8 seconds
Name: -, Instruction: Arrive at Rue David d'Angers, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
