Name: Ruppanerstraße, Instruction: Head northwest on Ruppanerstraße, Distance: 71.0 meters, Time: 51.1 seconds
Name: Westermeierstraße, Instruction: Turn left onto Westermeierstraße, Distance: 234.2 meters, Time: 168.6 seconds
Name: -, Instruction: Continue straight, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Keep left, Distance: 118.6 meters, Time: 85.4 seconds
Name: -, Instruction: Turn left, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 306.1 meters, Time: 220.4 seconds
Name: -, Instruction: Keep right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Karpfenstraße, Instruction: Turn right onto Karpfenstraße, Distance: 131.5 meters, Time: 94.7 seconds
Name: Marianne-Plehn-Straße, Instruction: Turn right onto Marianne-Plehn-Straße, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn right, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Keep left, Distance: 153.3 meters, Time: 110.4 seconds
Name: -, Instruction: Turn left, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Anton-Geisenhofer-Straße, Instruction: Turn right onto Anton-Geisenhofer-Straße, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 149.0 meters, Time: 107.3 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 298.2 meters, Time: 214.7 seconds
Name: Himalajastraße, Instruction: Turn sharp left onto Himalajastraße, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn left, Distance: 38.9 meters, Time: 28.0 seconds
Name: Säntisstraße, Instruction: Turn right onto Säntisstraße, Distance: 313.9 meters, Time: 226.0 seconds
Name: -, Instruction: Turn right, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
