Name: Park Green, Instruction: Head south on Park Green, Distance: 168.8 meters, Time: 121.6 seconds
Name: Heath Road, Instruction: Turn right onto Heath Road, Distance: 38.4 meters, Time: 27.7 seconds
Name: Heath Road, Instruction: Keep right onto Heath Road, Distance: 19.5 meters, Time: 14.1 seconds
Name: Summer Greens Drive, Instruction: Enter the roundabout and take the 1st exit onto Summer Greens Drive, Distance: 174.0 meters, Time: 125.3 seconds
Name: Summer Greens Drive, Instruction: Keep left onto Summer Greens Drive, Distance: 335.2 meters, Time: 241.3 seconds
Name: Summer Greens Drive, Instruction: Keep right onto Summer Greens Drive, Distance: 104.9 meters, Time: 75.5 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn left, Distance: 68.8 meters, Time: 49.5 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: Century Avenue, Instruction: Turn right onto Century Avenue, Distance: 100.4 meters, Time: 72.3 seconds
Name: Century Avenue, Instruction: Enter the roundabout and take the 2nd exit onto Century Avenue, Distance: 205.0 meters, Time: 147.6 seconds
Name: Socrates Way, Instruction: Enter the roundabout and take the 1st exit onto Socrates Way, Distance: 84.2 meters, Time: 60.6 seconds
Name: Socrates Way, Instruction: Enter the roundabout and take the 1st exit onto Socrates Way, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
