Name: Kennedy Street, Instruction: Head north on Kennedy Street, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 202.8 meters, Time: 146.1 seconds
Name: Oval Lane, Instruction: Turn left onto Oval Lane, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn left, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Continue straight, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 75.0 meters, Time: 54.0 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 47.4 meters, Time: 34.2 seconds
Name: University Walk, Instruction: Turn slight right onto University Walk, Distance: 10.2 meters, Time: 7.3 seconds
Name: University Walk, Instruction: Turn left onto University Walk, Distance: 34.6 meters, Time: 24.9 seconds
Name: University Walk, Instruction: Turn left onto University Walk, Distance: 17.3 meters, Time: 12.5 seconds
Name: Basser Steps, Instruction: Turn right onto Basser Steps, Distance: 34.9 meters, Time: 25.1 seconds
Name: Basser Steps, Instruction: Continue straight onto Basser Steps, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: College Road, Instruction: Turn left onto College Road, Distance: 110.1 meters, Time: 79.2 seconds
Name: -, Instruction: Arrive at College Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
