Name: Cross Lane, Instruction: Head southwest on Cross Lane, Distance: 6.6 meters, Time: 4.8 seconds
Name: Cross Street, Instruction: Turn left onto Cross Street, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: Kiaora Road, Instruction: Turn right onto Kiaora Road, Distance: 292.0 meters, Time: 210.3 seconds
Name: -, Instruction: Turn right, Distance: 49.3 meters, Time: 35.5 seconds
Name: Epping Road, Instruction: Turn left onto Epping Road, Distance: 408.6 meters, Time: 294.2 seconds
Name: Manning Road, Instruction: Enter the roundabout and take the 1st exit onto Manning Road, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 401.4 meters, Time: 289.0 seconds
Name: Russell Street, Instruction: Turn right onto Russell Street, Distance: 91.0 meters, Time: 65.5 seconds
Name: Russell Street, Instruction: Turn left onto Russell Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
