Name: Impasse Royer-Collard, Instruction: Head northeast on Impasse Royer-Collard, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: Rue Royer-Collard, Instruction: Turn right onto Rue Royer-Collard, Distance: 10.0 meters, Time: 7.2 seconds
Name: Rue Le Goff, Instruction: Turn left onto Rue Le Goff, Distance: 71.1 meters, Time: 51.2 seconds
Name: Rue Malebranche, Instruction: Turn right onto Rue Malebranche, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Keep right, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn right, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight right, Distance: 48.4 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 77.9 meters, Time: 56.1 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Rue Soufflot, Instruction: Turn right onto Rue Soufflot, Distance: 8.3 meters, Time: 6.0 seconds
Name: Rue Clovis, Instruction: Enter the roundabout and take the 7th exit onto Rue Clovis, Distance: 249.6 meters, Time: 179.7 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 108.1 meters, Time: 77.9 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Turn slight left, Distance: 98.3 meters, Time: 70.8 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Keep right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: Rue du Cardinal Lemoine, Instruction: Turn sharp left onto Rue du Cardinal Lemoine, Distance: 276.5 meters, Time: 199.1 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 160.0 meters, Time: 115.2 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 78.4 meters, Time: 56.5 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight right, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 114.8 meters, Time: 82.7 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
