Name: Toni-Berger-Straße, Instruction: Head west on Toni-Berger-Straße, Distance: 108.3 meters, Time: 78.0 seconds
Name: Amelbrechtweg, Instruction: Turn left onto Amelbrechtweg, Distance: 278.6 meters, Time: 200.6 seconds
Name: -, Instruction: Keep left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 75.0 meters, Time: 54.0 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 276.7 meters, Time: 199.2 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 242.6 meters, Time: 174.7 seconds
Name: -, Instruction: Keep right, Distance: 1010.1 meters, Time: 727.2 seconds
Name: -, Instruction: Keep left, Distance: 128.4 meters, Time: 92.5 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Oppelner Straße, Instruction: Turn left onto Oppelner Straße, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Arrive at Oppelner Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
