Name: Avignon Crescent, Instruction: Head south on Avignon Crescent, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight left, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: Smartt Road, Instruction: Turn slight left onto Smartt Road, Distance: 597.6 meters, Time: 430.2 seconds
Name: Alice Street, Instruction: Turn right onto Alice Street, Distance: 75.9 meters, Time: 54.6 seconds
Name: Van Rensburg Road, Instruction: Turn left onto Van Rensburg Road, Distance: 21.7 meters, Time: 15.7 seconds
Name: Alice Street, Instruction: Turn right onto Alice Street, Distance: 454.9 meters, Time: 327.5 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: Alice Street, Instruction: Turn left onto Alice Street, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 375.7 meters, Time: 270.5 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Dirkie Uys Street, Instruction: Turn right onto Dirkie Uys Street, Distance: 503.1 meters, Time: 362.3 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
