Name: Glenelg Place, Instruction: Head southeast on Glenelg Place, Distance: 94.0 meters, Time: 67.7 seconds
Name: Sutherland Road, Instruction: Turn right onto Sutherland Road, Distance: 529.1 meters, Time: 380.9 seconds
Name: Sutherland Road, Instruction: Continue straight onto Sutherland Road, Distance: 31.3 meters, Time: 22.5 seconds
Name: Copeland Road, Instruction: Turn left onto Copeland Road, Distance: 75.3 meters, Time: 54.2 seconds
Name: Copeland Road, Instruction: Turn left onto Copeland Road, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 182.2 meters, Time: 131.2 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 97.5 meters, Time: 70.2 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: Hannah Street, Instruction: Turn left onto Hannah Street, Distance: 176.1 meters, Time: 126.8 seconds
Name: -, Instruction: Arrive at Hannah Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
