Name: Beethovenstraße, Instruction: Head north on Beethovenstraße, Distance: 187.8 meters, Time: 135.2 seconds
Name: Jahnstraße, Instruction: Turn left onto Jahnstraße, Distance: 9.0 meters, Time: 6.5 seconds
Name: Lersnerstraße, Instruction: Turn right onto Lersnerstraße, Distance: 289.3 meters, Time: 208.3 seconds
Name: -, Instruction: Turn left, Distance: 323.8 meters, Time: 233.2 seconds
Name: -, Instruction: Turn right, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Keep right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 184.9 meters, Time: 133.1 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 45.8 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: Bahnhofsplatz, Instruction: Turn left onto Bahnhofsplatz, Distance: 3.9 meters, Time: 2.8 seconds
Name: Bahnhofsplatz, Instruction: Keep right onto Bahnhofsplatz, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Keep right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: Floriansanger, Instruction: Turn right onto Floriansanger, Distance: 68.7 meters, Time: 49.5 seconds
Name: Bodenschneidstraße, Instruction: Turn right onto Bodenschneidstraße, Distance: 87.1 meters, Time: 62.7 seconds
Name: Wendelsteinstraße, Instruction: Turn left onto Wendelsteinstraße, Distance: 18.2 meters, Time: 13.1 seconds
Name: Mainstraße, Instruction: Turn right onto Mainstraße, Distance: 95.6 meters, Time: 68.8 seconds
Name: Mainstraße, Instruction: Turn left onto Mainstraße, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
