Name: Rue Alphand, Instruction: Head northwest on Rue Alphand, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 160.1 meters, Time: 115.2 seconds
Name: -, Instruction: Turn slight right, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Passage Barrault, Instruction: Turn left onto Passage Barrault, Distance: 5.8 meters, Time: 4.2 seconds
Name: Rue Barrault, Instruction: Turn right onto Rue Barrault, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 107.3 meters, Time: 77.3 seconds
Name: -, Instruction: Turn left, Distance: 105.4 meters, Time: 75.9 seconds
Name: -, Instruction: Turn right, Distance: 132.0 meters, Time: 95.0 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn slight right, Distance: 126.8 meters, Time: 91.3 seconds
Name: -, Instruction: Keep left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 221.7 meters, Time: 159.6 seconds
Name: -, Instruction: Turn slight left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 67.3 meters, Time: 48.4 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 264.5 meters, Time: 190.4 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight left, Distance: 269.9 meters, Time: 194.3 seconds
Name: -, Instruction: Turn slight left, Distance: 225.2 meters, Time: 162.2 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: Rue des Feuillantines, Instruction: Turn left onto Rue des Feuillantines, Distance: 221.3 meters, Time: 159.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
