Name: Ferndale Street, Instruction: Head southwest on Ferndale Street, Distance: 165.1 meters, Time: 118.9 seconds
Name: Beaconsfield Walk, Instruction: Turn right onto Beaconsfield Walk, Distance: 291.5 meters, Time: 209.9 seconds
Name: Beaconsfield Walk, Instruction: Turn left onto Beaconsfield Walk, Distance: 37.9 meters, Time: 27.3 seconds
Name: East Ham Manor Way, Instruction: Turn left onto East Ham Manor Way, Distance: 11.4 meters, Time: 8.2 seconds
Name: Learoyd Gardens, Instruction: Turn right onto Learoyd Gardens, Distance: 58.6 meters, Time: 42.2 seconds
Name: Renfrew Close, Instruction: Turn left onto Renfrew Close, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Renfrew Close, Instruction: Turn right onto Renfrew Close, Distance: 35.0 meters, Time: 25.2 seconds
Name: Renfrew Close, Instruction: Turn slight right onto Renfrew Close, Distance: 61.6 meters, Time: 44.3 seconds
Name: Renfrew Close, Instruction: Turn left onto Renfrew Close, Distance: 19.2 meters, Time: 13.8 seconds
Name: Renfrew Close, Instruction: Turn sharp right onto Renfrew Close, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Arrive at Renfrew Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
