Name: شارع ابو منصور الموفق, Instruction: Head east on شارع ابو منصور الموفق, Distance: 152.5 meters, Time: 109.8 seconds
Name: شارع الشهيد عادل منصور, Instruction: Turn left onto شارع الشهيد عادل منصور, Distance: 10.3 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 61.9 meters, Time: 44.6 seconds
Name: شارع الشهيد محمد محمود, Instruction: Turn right onto شارع الشهيد محمد محمود, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight left, Distance: 77.0 meters, Time: 55.4 seconds
Name: محور مصطفى كامل الجانبى, Instruction: Turn left onto محور مصطفى كامل الجانبى, Distance: 182.9 meters, Time: 131.7 seconds
Name: شارع المهندس احمد محرم, Instruction: Keep left onto شارع المهندس احمد محرم, Distance: 97.2 meters, Time: 70.0 seconds
Name: -, Instruction: Turn right, Distance: 92.4 meters, Time: 66.5 seconds
Name: -, Instruction: Turn left, Distance: 40.1 meters, Time: 28.9 seconds
Name: شارع الشهيد عبد الرؤوف محمود, Instruction: Turn right onto شارع الشهيد عبد الرؤوف محمود, Distance: 181.9 meters, Time: 130.9 seconds
Name: شارع الشهيد عبد الرؤوف محمود, Instruction: Continue straight onto شارع الشهيد عبد الرؤوف محمود, Distance: 41.8 meters, Time: 30.1 seconds
Name: شارع فريد الأطرش, Instruction: Turn sharp right onto شارع فريد الأطرش, Distance: 159.5 meters, Time: 114.9 seconds
Name: محور مصطفى كامل الجانبى, Instruction: Turn left onto محور مصطفى كامل الجانبى, Distance: 119.5 meters, Time: 86.0 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: محور مصطفى كامل, Instruction: Turn left onto محور مصطفى كامل, Distance: 230.2 meters, Time: 165.7 seconds
Name: محور مصطفى كامل, Instruction: Enter the roundabout and take the 3rd exit onto محور مصطفى كامل, Distance: 117.0 meters, Time: 84.3 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.1 seconds
Name: محور مصطفى كامل, Instruction: Turn left onto محور مصطفى كامل, Distance: 358.4 meters, Time: 258.1 seconds
Name: -, Instruction: Turn right, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 141.2 meters, Time: 101.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 34.5 meters, Time: 24.9 seconds
Name: محور مصطفى كامل, Instruction: Turn right onto محور مصطفى كامل, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 30.4 meters, Time: 21.9 seconds
Name: محور مصطفى كامل, Instruction: Turn right onto محور مصطفى كامل, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Keep left, Distance: 230.7 meters, Time: 166.1 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
