Name: Rupert Gardens, Instruction: Head west on Rupert Gardens, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 198.1 meters, Time: 142.6 seconds
Name: -, Instruction: Turn slight right, Distance: 185.3 meters, Time: 133.4 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 102.4 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 61.5 meters, Time: 44.3 seconds
Name: Bramah Road, Instruction: Turn right onto Bramah Road, Distance: 94.9 meters, Time: 68.4 seconds
Name: Eleanor Road, Instruction: Turn left onto Eleanor Road, Distance: 114.3 meters, Time: 82.3 seconds
Name: Cowley Road, Instruction: Turn left onto Cowley Road, Distance: 5.0 meters, Time: 3.6 seconds
Name: Normandy Road, Instruction: Turn right onto Normandy Road, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 82.0 meters, Time: 59.0 seconds
Name: -, Instruction: Keep left, Distance: 86.9 meters, Time: 62.5 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: Hillyard Street, Instruction: Turn left onto Hillyard Street, Distance: 178.3 meters, Time: 128.4 seconds
Name: Hackford Road, Instruction: Turn right onto Hackford Road, Distance: 83.8 meters, Time: 60.3 seconds
Name: Van Gogh Walk, Instruction: Turn left onto Van Gogh Walk, Distance: 102.6 meters, Time: 73.9 seconds
Name: Liberty Street, Instruction: Turn right onto Liberty Street, Distance: 99.0 meters, Time: 71.3 seconds
Name: Lett Road, Instruction: Turn left onto Lett Road, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn right, Distance: 92.9 meters, Time: 66.9 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
