Name: Joseph Banks Drive, Instruction: Head south on Joseph Banks Drive, Distance: 87.9 meters, Time: 63.3 seconds
Name: Marton Crescent, Instruction: Turn right onto Marton Crescent, Distance: 424.4 meters, Time: 305.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 107.1 meters, Time: 77.1 seconds
Name: Whitby Road, Instruction: Turn sharp left onto Whitby Road, Distance: 155.0 meters, Time: 111.6 seconds
Name: -, Instruction: Turn right, Distance: 68.1 meters, Time: 49.1 seconds
Name: -, Instruction: Turn right, Distance: 398.7 meters, Time: 287.0 seconds
Name: -, Instruction: Turn right, Distance: 327.5 meters, Time: 235.8 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 68.1 meters, Time: 49.0 seconds
Name: -, Instruction: Keep left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: Freeman Street, Instruction: Turn left onto Freeman Street, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Arrive at Freeman Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
