Name: Sente des Larris, Instruction: Head southwest on Sente des Larris, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Keep left, Distance: 66.7 meters, Time: 48.0 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.5 seconds
Name: Boulevard Saint-Denis, D 9, Instruction: Turn right onto Boulevard Saint-Denis, D 9, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: Rue Léon Boursier, Instruction: Turn right onto Rue Léon Boursier, Distance: 124.4 meters, Time: 89.6 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 168.3 meters, Time: 121.2 seconds
Name: -, Instruction: Turn left, Distance: 44.4 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 764.7 meters, Time: 550.6 seconds
Name: -, Instruction: Keep right, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn slight left, Distance: 162.3 meters, Time: 116.8 seconds
Name: -, Instruction: Continue straight, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 58.9 meters, Time: 42.4 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 58.0 meters, Time: 41.8 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
