Name: Passage Emma Calvé, Instruction: Head southwest on Passage Emma Calvé, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Turn right, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 140.1 meters, Time: 100.9 seconds
Name: -, Instruction: Turn slight right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 158.4 meters, Time: 114.0 seconds
Name: -, Instruction: Turn right, Distance: 221.3 meters, Time: 159.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
