Name: Niccol Avenue, Instruction: Head south on Niccol Avenue, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 120.3 meters, Time: 86.6 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: Handley Avenue, Instruction: Turn right onto Handley Avenue, Distance: 253.9 meters, Time: 182.8 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 229.3 meters, Time: 165.1 seconds
Name: Wairoa Road, Instruction: Turn right onto Wairoa Road, Distance: 481.2 meters, Time: 346.5 seconds
Name: -, Instruction: Turn right, Distance: 281.0 meters, Time: 202.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
