Name: Felgrove Street, Instruction: Head northwest on Felgrove Street, Distance: 429.0 meters, Time: 308.9 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn slight left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Keep right, Distance: 343.5 meters, Time: 247.3 seconds
Name: -, Instruction: Keep right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 198.0 meters, Time: 142.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.1 meters, Time: 5.8 seconds
Name: Wattle Road, Instruction: Turn right onto Wattle Road, Distance: 7.7 meters, Time: 5.5 seconds
Name: Awaroa Road, Instruction: Turn left onto Awaroa Road, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Keep left, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn right, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn right, Distance: 117.0 meters, Time: 84.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn slight right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: Seymour Road, Instruction: Turn right onto Seymour Road, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at Seymour Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
