Name: Königsplatz, Instruction: Head west on Königsplatz, Distance: 184.5 meters, Time: 132.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep right, Distance: 10.8 meters, Time: 7.8 seconds
Name: Augustenstraße, Instruction: Turn slight left onto Augustenstraße, Distance: 12.6 meters, Time: 9.1 seconds
Name: Brienner Straße, Instruction: Turn right onto Brienner Straße, Distance: 181.2 meters, Time: 130.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 461.8 meters, Time: 332.5 seconds
Name: -, Instruction: Keep right, Distance: 516.1 meters, Time: 371.6 seconds
Name: -, Instruction: Turn left, Distance: 137.9 meters, Time: 99.3 seconds
Name: -, Instruction: Turn right, Distance: 213.7 meters, Time: 153.9 seconds
Name: Elvirastraße, Instruction: Turn left onto Elvirastraße, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
