Name: Calle Río Mixcoac, Instruction: Head east on Calle Río Mixcoac, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Keep left, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 333.8 meters, Time: 240.4 seconds
Name: Boulevard Adolfo López Mateos, Instruction: Turn slight left onto Boulevard Adolfo López Mateos, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 84.6 meters, Time: 60.9 seconds
Name: Calle Miguel Cabrera, Instruction: Turn left onto Calle Miguel Cabrera, Distance: 112.2 meters, Time: 80.8 seconds
Name: Calle Santiago Rebull, Instruction: Turn left onto Calle Santiago Rebull, Distance: 222.8 meters, Time: 160.4 seconds
Name: Calle Santiago Rebull, Instruction: Turn slight left onto Calle Santiago Rebull, Distance: 18.5 meters, Time: 13.3 seconds
Name: Calle Molinos, Instruction: Turn sharp right onto Calle Molinos, Distance: 32.4 meters, Time: 23.3 seconds
Name: Calle Guillain, Instruction: Turn left onto Calle Guillain, Distance: 262.2 meters, Time: 188.8 seconds
Name: Calle Giotto, Instruction: Turn right onto Calle Giotto, Distance: 32.9 meters, Time: 23.7 seconds
Name: Cerrada Giotto, Instruction: Turn left onto Cerrada Giotto, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn slight right, Distance: 81.3 meters, Time: 58.5 seconds
Name: Calle Miguel Ángel Buonarroti, Instruction: Continue straight onto Calle Miguel Ángel Buonarroti, Distance: 502.9 meters, Time: 362.1 seconds
Name: Calle Rembrandt, Instruction: Turn right onto Calle Rembrandt, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn right, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
