Name: Chatsworth Avenue, Instruction: Head southeast on Chatsworth Avenue, Distance: 82.0 meters, Time: 59.1 seconds
Name: Chatsworth Road, Instruction: Enter the roundabout and take the 1st exit onto Chatsworth Road, Distance: 483.3 meters, Time: 347.9 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 403.0 meters, Time: 290.1 seconds
Name: Grange Road, Instruction: Turn right onto Grange Road, Distance: 160.3 meters, Time: 115.4 seconds
Name: -, Instruction: Keep right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Keep right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 373.8 meters, Time: 269.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
