Name: Canberra Link, Instruction: Head southwest on Canberra Link, Distance: 8.0 meters, Time: 5.8 seconds
Name: Canberra Drive, Instruction: Turn left onto Canberra Drive, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 34.3 meters, Time: 24.7 seconds
Name: Jalan Sendudok, Instruction: Turn sharp left onto Jalan Sendudok, Distance: 254.1 meters, Time: 182.9 seconds
Name: Jalan Kemuning, Instruction: Turn left onto Jalan Kemuning, Distance: 297.9 meters, Time: 214.5 seconds
Name: -, Instruction: Turn left, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn slight left, Distance: 68.7 meters, Time: 49.5 seconds
Name: Jalan Shaer, Instruction: Continue straight onto Jalan Shaer, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Arrive at Jalan Shaer, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
