Name: Trevor Housley Avenue, Instruction: Head north on Trevor Housley Avenue, Distance: 223.4 meters, Time: 160.9 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn slight left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight left, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: East India Street, Instruction: Turn left onto East India Street, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn slight right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: Charles Smith Avenue, Instruction: Turn right onto Charles Smith Avenue, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 82.7 meters, Time: 59.5 seconds
Name: -, Instruction: Turn slight left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Continue straight, Distance: 113.7 meters, Time: 81.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 175.6 meters, Time: 126.4 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: Bubuk Street, Instruction: Turn left onto Bubuk Street, Distance: 10.4 meters, Time: 7.5 seconds
Name: Bubuk Street, Instruction: Keep right onto Bubuk Street, Distance: 230.3 meters, Time: 165.8 seconds
Name: -, Instruction: Arrive at Bubuk Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
