Name: Starke Road, Instruction: Head southeast on Starke Road, Distance: 88.0 meters, Time: 63.3 seconds
Name: Protea Road, Instruction: Turn left onto Protea Road, Distance: 227.4 meters, Time: 163.7 seconds
Name: -, Instruction: Continue straight, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 137.7 meters, Time: 99.1 seconds
Name: -, Instruction: Turn left, Distance: 51.0 meters, Time: 36.7 seconds
Name: Silverhurst Way, Instruction: Turn right onto Silverhurst Way, Distance: 853.1 meters, Time: 614.2 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn left, Distance: 71.9 meters, Time: 51.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
