Name: Mühlgasse, Instruction: Head west on Mühlgasse, Distance: 283.4 meters, Time: 204.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn slight left, Distance: 67.9 meters, Time: 48.9 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 170.2 meters, Time: 122.5 seconds
Name: -, Instruction: Keep left, Distance: 211.8 meters, Time: 152.5 seconds
Name: -, Instruction: Keep right, Distance: 448.1 meters, Time: 322.6 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.5 seconds
Name: Umgehungsstraße, Instruction: Turn right onto Umgehungsstraße, Distance: 203.6 meters, Time: 146.6 seconds
Name: -, Instruction: Turn left, Distance: 142.0 meters, Time: 102.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
