Name: Bethwin Road, Instruction: Head northeast on Bethwin Road, Distance: 136.3 meters, Time: 98.1 seconds
Name: Goodyear Place, Instruction: Turn left onto Goodyear Place, Distance: 32.3 meters, Time: 23.2 seconds
Name: Goodyear Place, Instruction: Turn right onto Goodyear Place, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn left, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Keep right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 91.0 meters, Time: 65.5 seconds
Name: Albany Road, B214, Instruction: Turn right onto Albany Road, B214, Distance: 15.4 meters, Time: 11.1 seconds
Name: Bradenham Close, Instruction: Turn left onto Bradenham Close, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn right, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 135.8 meters, Time: 97.8 seconds
Name: Westmoreland Road, Instruction: Turn right onto Westmoreland Road, Distance: 245.1 meters, Time: 176.5 seconds
Name: -, Instruction: Turn left, Distance: 275.1 meters, Time: 198.1 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: Thurlow Street, Instruction: Turn left onto Thurlow Street, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: Thurlow Walk, Instruction: Turn left onto Thurlow Walk, Distance: 38.7 meters, Time: 27.8 seconds
Name: Alsace Road, Instruction: Turn right onto Alsace Road, Distance: 113.6 meters, Time: 81.8 seconds
Name: Alvey Street, Instruction: Turn left onto Alvey Street, Distance: 5.2 meters, Time: 3.8 seconds
Name: Surrey Square, Instruction: Turn right onto Surrey Square, Distance: 309.7 meters, Time: 223.0 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 5.9 seconds
Name: Old Kent Road, Instruction: Turn slight left onto Old Kent Road, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
